entrydate	entry_count
2018-04-01	28034
2018-04-02	31780
2018-04-03	34600
2018-04-04	37993
2018-04-05	23933
2018-04-06	19823
2018-04-07	19874
2018-04-08	24639
2018-04-09	23128
2018-04-10	23493
2018-04-11	22917
2018-04-12	25007
2018-04-13	24240
2018-04-14	22259
2018-04-15	20229
2018-04-16	22319
2018-04-17	26538
2018-04-18	29065
2018-04-19	31472
2018-04-20	30578
2018-04-21	27934
2018-04-22	24872
2018-04-23	27261
2018-04-24	30237
2018-04-25	30287
2018-04-26	33680
2018-04-27	35183
2018-04-28	38119
2018-04-29	30340
2018-04-30	26703
2018-05-01	22949
2018-05-02	28635
2018-05-03	27861
2018-05-04	30135
2018-05-05	26517
2018-05-06	23223
2018-05-07	27901
2018-05-08	28142
2018-05-09	27840
2018-05-10	27874
2018-05-11	27126
2018-05-12	23821
2018-05-13	22659
2018-05-14	27091
2018-05-15	27715
2018-05-16	26556
2018-05-17	29452
2018-05-18	32759
2018-05-19	28220
2018-05-20	23256
2018-05-21	29706
2018-05-22	29701
2018-05-23	16382
2018-05-24	10826
2018-05-25	29916
2018-05-26	26287
2018-05-27	24057
2018-05-28	30205
2018-05-29	28801
2018-05-30	29903
2018-05-31	32517
2018-06-01	32118
2018-06-02	27578
2018-06-03	25790
2018-06-04	27553
2018-06-05	35113
2018-06-06	31127
2018-06-07	33935
2018-06-08	34367
2018-06-09	29435
2018-06-10	28436
2018-06-11	32291
2018-06-12	36377
2018-06-13	36141
2018-06-14	38792
2018-06-15	40780
2018-06-16	34442
2018-06-17	28510
2018-06-18	25278
2018-06-19	29400
2018-06-20	29992
2018-06-21	32540
2018-06-22	32475
2018-06-23	26249
2018-06-24	24721
2018-06-25	27345
2018-06-26	28172
2018-06-27	30234
2018-06-28	31893
2018-06-29	34872
2018-06-30	29276
2018-07-01	26780
2018-07-02	26971
2018-07-03	30251
2018-07-04	33405
2018-07-05	32814
2018-07-06	34579
2018-07-07	28917
2018-07-08	26297
2018-07-09	31130
2018-07-10	33705
2018-07-11	31064
2018-07-12	36344
2018-07-13	37723
2018-07-14	30625
2018-07-15	28054
2018-07-16	31662
2018-07-17	34010
2018-07-18	34653
2018-07-19	35557
2018-07-20	39426
2018-07-21	35641
2018-07-22	30296
2018-07-23	34843
2018-07-24	37402
2018-07-25	39082
2018-07-26	40589
2018-07-27	40842
2018-07-28	36002
2018-07-29	30980
2018-07-30	36120
2018-07-31	39139
2018-08-01	41449
2018-08-02	41836
2018-08-03	45725
2018-08-04	40841
2018-08-05	34843
2018-08-06	40047
2018-08-07	39628
2018-08-08	39495
2018-08-09	45444
2018-08-10	43202
2018-08-11	37940
2018-08-12	37703
2018-08-13	38548
2018-08-14	40414
2018-08-15	44538
2018-08-16	47930
2018-08-17	43812
2018-08-18	36227
2018-08-19	36090
2018-08-20	38374
2018-08-21	39707
2018-08-22	38859
2018-08-23	43324
2018-08-24	45138
2018-08-25	39421
2018-08-26	35043
2018-08-27	37149
2018-08-28	38707
2018-08-29	38348
2018-08-30	39742
2018-08-31	40720
2018-09-01	36381
2018-09-02	36568
2018-09-03	38673
2018-09-04	42131
2018-09-05	42337
2018-09-06	45314
2018-09-07	43476
2018-09-08	38953
2018-09-09	37582
2018-09-10	41073
2018-09-11	42961
2018-09-12	44907
2018-09-13	43859
2018-09-14	47659
2018-09-15	39957
2018-09-16	36734
2018-09-17	43206
2018-09-18	48588
2018-09-19	46226
2018-09-20	47737
2018-09-21	46956
2018-09-22	43916
2018-09-23	43217
2018-09-24	36946
2018-09-25	52169
2018-09-26	56367
2018-09-27	57298
2018-09-28	61185
2018-09-29	59959
2018-09-30	60496
2018-10-01	51752
2018-10-02	40805
2018-10-03	34789
2018-10-04	32026
2018-10-05	30324
2018-10-06	28938
2018-10-07	33454
2018-10-08	39351
2018-10-09	36063
2018-10-10	34485
2018-10-11	34698
2018-10-12	36268
2018-10-13	32707
2018-10-14	31585
2018-10-15	33540
2018-10-16	28564
2018-10-17	32884
2018-10-18	32058
2018-10-19	34787
2018-10-20	29758
2018-10-21	29088
2018-10-22	35888
2018-10-23	32653
2018-10-24	31741
2018-10-25	36360
2018-10-26	34307
2018-10-27	29597
2018-10-28	27783
2018-10-29	28846
2018-10-30	31636
2018-10-31	30377
2018-11-01	30977
2018-11-02	34051
2018-11-03	28449
2018-11-04	25295
2018-11-05	28276
2018-11-06	28648
2018-11-07	30807
2018-11-08	33199
2018-11-09	30377
2018-11-10	26786
2018-11-11	23213
2018-11-12	28620
2018-11-13	28649
2018-11-14	29987
2018-11-15	31372
2018-11-16	30352
2018-11-17	26418
2018-11-18	24091
2018-11-19	25050
2018-11-20	26325
2018-11-21	27783
2018-11-22	29163
2018-11-23	29553
2018-11-24	24993
2018-11-25	23657
2018-11-26	26598
2018-11-27	26361
2018-11-28	27835
2018-11-29	26905
2018-11-30	28243
2018-12-01	30171
2018-12-02	26572
2018-12-03	29557
2018-12-04	30947
2018-12-05	31498
2018-12-06	31916
2018-12-07	32202
2018-12-08	31423
2018-12-09	30456
2018-12-10	35561
2018-12-11	35016
2018-12-12	35888
2018-12-13	38225
2018-12-14	40898
2018-12-15	38266
2018-12-16	34851
2018-12-17	40001
2018-12-18	37800
2018-12-19	40931
2018-12-20	41293
2018-12-21	43393
2018-12-22	40068
2018-12-23	40256
2018-12-24	44912
2018-12-25	44586
2018-12-26	44495
2018-12-27	41216
2018-12-28	39644
2018-12-29	38646
2018-12-30	34693
2018-12-31	27883
